area_code,sla_code,unemployed
350102740,350102740,0
350102800,350102800,131
350102900,350102900,128
350103030,350103030,10
350103100,350103100,11
350103650,350103650,4
350103700,350103700,173
115106952,115106952,2057
350103830,350103830,18
350103840,350103840,3
350103930,350103930,13
350104150,350104150,397
350104420,350104420,3
350104430,350104430,6
350104570,350104570,12
350104740,350104740,0
350104830,350104830,3
350104850,350104850,404
115108350,115108350,811
350104970,350104970,15
350105670,350105670,16
350105730,350105730,0
350106070,350106070,13
350106100,350106100,0
350106470,350106470,4
350106480,350106480,0
350106570,350106570,0
350106950,350106950,69
350107090,350107090,0
120057554,120057554,1304
350107110,350107110,12
350107170,350107170,0
350107300,350107300,19
350107570,350107570,9
350107600,350107600,84
350107650,350107650,6
355051950,355051950,0
355052250,355052250,43
355052450,355052450,51
355052770,355052770,24
120057556,120057556,268
355053200,355053200,25
355054800,355054800,10
355055250,355055250,21
355055300,355055300,372
355056300,355056300,9
355058809,355058809,0
405052030,405052030,494
405055681,405055681,459
405055683,405055683,1087
405055684,405055684,60
120074851,120074851,1277
405055686,405055686,245
405055688,405055688,609
405055891,405055891,868
405055894,405055894,683
405057141,405057141,815
405057143,405057143,794
405057144,405057144,548
405057146,405057146,835
405057148,405057148,222
405057701,405057701,584
105108050,105108050,1080
120100250,120100250,1269
405057704,405057704,224
405057705,405057705,584
405057708,405057708,681
405101061,405101061,609
405101064,405101064,564
405101065,405101065,488
405101068,405101068,826
405105895,405105895,683
405105896,405105896,544
405105897,405105897,382
120101350,120101350,1136
405108411,405108411,770
405108414,405108414,624
405108899,405108899,0
405150070,405150070,664
405150121,405150121,195
405150124,405150124,176
405150701,405150701,360
405150704,405150704,388
405150911,405150911,555
405150914,405150914,437
120104550,120104550,380
405155291,405155291,327
405155294,405155294,432
405156510,405156510,433
405157981,405157981,387
405157984,405157984,362
405158260,405158260,139
405202601,405202601,440
405202604,405202604,258
405204061,405204061,828
405204064,405204064,601
120104854,120104854,533
405204065,405204065,531
405204341,405204341,564
405204344,405204344,237
405204345,405204345,417
405205341,405205341,533
405205342,405205342,200
405205343,405205343,744
405205344,405205344,678
405205345,405205345,528
405205346,405205346,807
120106611,120106611,368
405205347,405205347,700
410050311,410050311,140
410050314,410050314,156
410050315,410050315,55
410053650,410053650,260
410053920,410053920,183
410102750,410102750,92
410150125,410150125,108
410150128,410150128,133
410154551,410154551,351
120106612,120106612,389
410154554,410154554,179
410200221,410200221,265
410200224,410200224,166
410208050,410208050,245
410208750,410208750,103
415050430,415050430,62
415051560,415051560,393
415058831,415058831,154
415058834,415058834,77
415058969,415058969,0
120107558,120107558,669
415101140,415101140,131
415102110,415102110,87
415108130,415108130,104
420050521,420050521,116
420050524,420050524,214
